geneID,gene.width,intron_width,recombination,POE
LOC100328599,5871,1714,0,FALSE
LOC100359409,3745,2416,1.89,FALSE
LOC100359410,1179,683,19.36666667,FALSE
LOC100379261,3089,476,42.79,FALSE
LOC100576080,7209,4298,NA,FALSE
LOC100576082,5348,1006,3.88,FALSE
LOC100576085,11967,9499,2.21,FALSE
LOC100576088,1105,573,21.33,FALSE
LOC100576090,1700,897,33.36,FALSE
LOC100576093,5631,4888,12.4,FALSE
LOC100576096,7638,3473,26.11,FALSE
LOC100576097,4832,2142,8.71,FALSE
LOC100576098,790,80,22.21,FALSE
LOC100576099,1944,298,42.74,FALSE
LOC100576100,1517,354,30.12,FALSE
LOC100576101,1964,532,27.65333333,FALSE
LOC100576103,1293,188,NA,FALSE
LOC100576104,1786,660,14.77,FALSE
LOC100576105,656,108,NA,FALSE
LOC100576106,5013,3880,23.03,FALSE
LOC100576110,9804,5359,15.14,FALSE
LOC100576115,645,182,21.51,FALSE
LOC100576116,8273,4908,10.81,FALSE
LOC100576118,6737,4877,41.59,FALSE
LOC100576120,1516,935,NA,FALSE
LOC100576121,14524,12094,5.06,FALSE
LOC100576122,2962,455,NA,FALSE
LOC100576125,2286,NA,31.31,FALSE
LOC100576126,7953,5581,5.11,FALSE
LOC100576128,2872,1004,24.06,FALSE
LOC100576129,211642,201786,26.42333333,FALSE
LOC100576130,4518,2736,15.87,FALSE
LOC100576131,3396,483,0,FALSE
LOC100576132,8565,4211,30.14,FALSE
LOC100576134,63716,61049,6.76,FALSE
LOC100576135,14847,11807,12.28333333,TRUE
LOC100576136,2505,246,13.34,FALSE
LOC100576139,1649,491,NA,FALSE
LOC100576140,1397,318,26.49,FALSE
LOC100576143,3119,1066,7.23,FALSE
LOC100576146,2236,479,15.13,FALSE
LOC100576147,4101,NA,28.28,FALSE
LOC100576150,2168,NA,21.59,FALSE
LOC100576151,2056,824,10.78,FALSE
LOC100576152,3065,1615,42.57,FALSE
LOC100576153,1377,457,13.77,FALSE
LOC100576155,4975,3024,17.4,FALSE
LOC100576157,13186,10680,2.71,TRUE
LOC100576159,7234,774,1.42,FALSE
LOC100576161,1093,360,NA,FALSE
LOC100576162,4757,1598,14.88,FALSE
LOC100576163,3476,2933,24.7,FALSE
LOC100576164,3484,1970,NA,FALSE
LOC100576165,1081,188,33.07,FALSE
LOC100576167,2104,729,33.27,FALSE
LOC100576169,9528,3887,26.96,FALSE
LOC100576170,1502,355,1.9,FALSE
LOC100576172,44227,42054,26.94,FALSE
LOC100576173,5392,2239,NA,FALSE
LOC100576174,823,180,17.67,FALSE
LOC100576176,2517,584,12.72,FALSE
LOC100576179,4562,458,24.4,FALSE
LOC100576182,1894,290,24.21,FALSE
LOC100576183,8206,5232,NA,FALSE
LOC100576184,2230,229,42.11,FALSE
LOC100576185,5975,1411,13.99,FALSE
LOC100576186,2182,577,13.84,FALSE
LOC100576187,68728,66361,2.21,FALSE
LOC100576189,9796,6585,NA,FALSE
LOC100576192,3927,1847,28.855,FALSE
LOC100576193,7025,4646,29.32,TRUE
LOC100576194,2584,1201,16.37,FALSE
LOC100576195,889,215,28.51,FALSE
LOC100576196,159231,147766,28.32,FALSE
LOC100576198,4797,1490,18.85,FALSE
LOC100576207,1300,255,NA,FALSE
LOC100576212,4780,2810,20.27,FALSE
LOC100576215,3804,1111,16.35,FALSE
LOC100576216,4958,1423,32.86,FALSE
LOC100576217,10282,5447,62.83,FALSE
LOC100576220,6818,5185,6.2,FALSE
LOC100576221,2341,334,1.23,FALSE
LOC100576222,5959,1651,15.62,FALSE
LOC100576223,62863,57917,18.225,FALSE
LOC100576224,3268,1081,21.748,FALSE
LOC100576225,2383,1296,10.13,FALSE
LOC100576226,1248,307,28.54,FALSE
LOC100576227,4872,953,21.38,FALSE
LOC100576230,11462,10302,NA,FALSE
LOC100576231,5202,3069,21.54,FALSE
LOC100576233,8129,695,25.11,FALSE
LOC100576234,10874,4097,NA,FALSE
LOC100576236,2419,999,28.87,FALSE
LOC100576242,4142,1972,13.88,FALSE
LOC100576246,4372,2490,20.4,FALSE
LOC100576247,122782,112366,13.53,TRUE
LOC100576248,2774,149,24.29,FALSE
LOC100576249,7921,3856,20.47,TRUE
LOC100576251,62031,58670,28.92,FALSE
LOC100576253,2999,789,30.89,FALSE
LOC100576257,2638,330,NA,FALSE
LOC100576258,2715,1678,26.98,FALSE
LOC100576260,4341,727,15.82,FALSE
LOC100576261,2830,720,6.38,FALSE
LOC100576262,1705,451,1.56,FALSE
LOC100576263,6681,5597,27.55,FALSE
LOC100576265,1491,288,29.02,FALSE
LOC100576266,4661,429,21.25,FALSE
LOC100576270,1085,470,6.51,FALSE
LOC100576271,11815,8236,15.13636364,TRUE
LOC100576272,2349,1123,7.27,FALSE
LOC100576273,3222,495,41.73,FALSE
LOC100576274,2595,1122,25.16,FALSE
LOC100576277,4817,860,NA,FALSE
LOC100576279,4194,1170,0.01,FALSE
LOC100576282,3977,1940,20.77,FALSE
LOC100576283,99657,98408,NA,TRUE
LOC100576284,3051,852,23.95,FALSE
LOC100576286,2322,434,14,FALSE
LOC100576287,2729,358,NA,FALSE
LOC100576288,6649,1233,25.66,FALSE
LOC100576289,924,219,14,FALSE
LOC100576290,3358,978,26.11,FALSE
LOC100576291,160214,150028,2.13,FALSE
LOC100576293,5600,1555,16.4,TRUE
LOC100576296,2123,320,25.05,FALSE
LOC100576298,1592,224,15.09,FALSE
LOC100576299,5930,2073,NA,FALSE
LOC100576300,6468,4093,6.35,FALSE
LOC100576301,4570,3918,NA,FALSE
LOC100576302,4826,2852,NA,FALSE
LOC100576304,38911,36908,27.01,FALSE
LOC100576307,8773,6953,24.52,FALSE
LOC100576319,4523,3020,NA,FALSE
LOC100576320,7660,5933,11.43,FALSE
LOC100576321,8284,581,11.62,FALSE
LOC100576326,4451,2824,22.04,FALSE
LOC100576330,1231,81,8.8,FALSE
LOC100576333,10483,8483,15.33,FALSE
LOC100576336,3376,576,24.56,FALSE
LOC100576337,1743,356,4.99,FALSE
LOC100576338,3080,2284,NA,FALSE
LOC100576341,7015,5833,23.87,FALSE
LOC100576346,6446,283,9.09,FALSE
LOC100576348,1647,328,2.18,FALSE
LOC100576349,7110,5443,17.4,FALSE
LOC100576355,14736,11196,30.33,FALSE
LOC100576359,2648,500,17.16,FALSE
LOC100576361,10205,9225,27.27,FALSE
LOC100576366,1780,346,15.59,FALSE
LOC100576369,45156,40588,2.21,FALSE
LOC100576370,6044,475,47.8,FALSE
LOC100576373,3181,1248,24.42,FALSE
LOC100576374,5939,2162,13.8,FALSE
LOC100576378,1656,308,17.4,FALSE
LOC100576381,15190,12641,18.34,TRUE
LOC100576382,3234,2250,5.59,FALSE
LOC100576383,477579,466431,16.235,FALSE
LOC100576384,48674,35085,11.11333333,FALSE
LOC100576387,958,413,7.66,FALSE
LOC100576392,39900,25084,7.3,FALSE
LOC100576395,14117,3677,4.72,FALSE
LOC100576397,4520,955,NA,FALSE
LOC100576400,1237,101,16.32,FALSE
LOC100576401,771,NA,15.88,FALSE
LOC100576402,10939,3261,13.28,FALSE
LOC100576403,748,128,NA,FALSE
LOC100576404,4487,784,16.95,FALSE
LOC100576405,185678,180626,25.40666667,FALSE
LOC100576410,4531,3681,8.06,FALSE
LOC100576411,2499,NA,42.16,FALSE
LOC100576412,2258,238,28.77,FALSE
LOC100576413,14851,1041,28.17,FALSE
LOC100576414,2671,1031,6.62,FALSE
LOC100576417,44740,40716,NA,FALSE
LOC100576418,2191,476,13.56,FALSE
LOC100576419,2819,1718,NA,FALSE
LOC100576421,55367,49547,10.551,FALSE
LOC100576422,1742,880,26.37,FALSE
LOC100576423,4230,897,NA,FALSE
LOC100576425,9580,6188,31.65,FALSE
LOC100576428,38758,34172,10.81,FALSE
LOC100576432,3967,933,9.13,FALSE
LOC100576433,3656,683,17.69,FALSE
LOC100576434,2705,700,11.64,FALSE
LOC100576435,6521,2378,23.14666667,FALSE
LOC100576436,5087,2021,2.19,FALSE
LOC100576438,3190,1402,6.51,FALSE
LOC100576439,6540,5375,2.19,FALSE
LOC100576444,976,538,4.4,FALSE
LOC100576445,8822,2517,NA,FALSE
LOC100576446,15811,12376,29.72333333,FALSE
LOC100576447,4845,2442,29.73,FALSE
LOC100576449,49590,40551,16.46,FALSE
LOC100576452,2635,157,NA,FALSE
LOC100576453,736,251,16.95,FALSE
LOC100576454,23611,18548,28.86666667,TRUE
LOC100576457,885,250,0.42,FALSE
LOC100576458,13199,11976,11.25,TRUE
LOC100576460,1675,430,20.9,FALSE
LOC100576461,5035,813,12.4,FALSE
LOC100576462,2134,564,55.11,FALSE
LOC100576467,56346,55715,31.41,FALSE
LOC100576471,82828,77801,15.04,FALSE
LOC100576472,5699,1414,4.75,FALSE
LOC100576473,1488,976,29.55,FALSE
LOC100576476,4536,2032,15.93,FALSE
LOC100576478,7118,839,NA,FALSE
LOC100576480,2772,1199,7.32,FALSE
LOC100576482,4545,494,23.365,FALSE
LOC100576484,48848,47027,26.37,FALSE
LOC100576487,1091,320,0,FALSE
LOC100576488,3624,2291,11.43666667,FALSE
LOC100576492,2495,1547,33.53,FALSE
LOC100576497,6377,3828,7.56,FALSE
LOC100576498,320652,319151,5.65,TRUE
LOC100576502,1774,407,19.9,FALSE
LOC100576503,2377,1066,NA,FALSE
LOC100576504,12852,6945,23.996,TRUE
LOC100576505,2000,1028,29.03666667,FALSE
LOC100576506,1197,139,25.05,FALSE
LOC100576508,2999,1118,30.84,TRUE
LOC100576512,6870,4881,11.64,FALSE
LOC100576513,2681,1351,NA,FALSE
LOC100576514,1580,610,26.66,FALSE
LOC100576515,967,245,10.05,FALSE
LOC100576517,20567,11200,NA,FALSE
LOC100576519,6987,4273,12.44,FALSE
LOC100576522,3988,2140,11.68,FALSE
LOC100576527,2842,544,30.8,TRUE
LOC100576528,107039,101360,29.51714286,FALSE
LOC100576529,6471,2476,42.26,FALSE
LOC100576530,675,208,12.7,FALSE
LOC100576531,1199,275,53.69,FALSE
LOC100576532,1040,216,9.15,FALSE
LOC100576534,2288,886,46.16,FALSE
LOC100576537,7180,6282,NA,FALSE
LOC100576540,2832,976,12.41,FALSE
LOC100576542,968,423,10.88,FALSE
LOC100576543,1264,311,12.15,FALSE
LOC100576544,1361,160,1.23,FALSE
LOC100576546,8269,1421,NA,TRUE
LOC100576547,20281,16907,6.457142857,FALSE
LOC100576552,6401,3597,36.16833333,FALSE
LOC100576554,2236,637,24.15,FALSE
LOC100576555,6267,2157,22.93,FALSE
LOC100576557,9574,5270,14.08,FALSE
LOC100576559,1479,538,5.78,FALSE
LOC100576563,55166,50976,1.59,FALSE
LOC100576565,1553,231,0,FALSE
LOC100576568,7498,3821,16.82,FALSE
LOC100576569,9991,2037,42.36,FALSE
LOC100576571,2049,459,19.31,FALSE
LOC100576572,2639,870,53.38,FALSE
LOC100576573,9427,5169,NA,FALSE
LOC100576584,2064,371,10.25,FALSE
LOC100576585,2367,816,NA,FALSE
LOC100576586,6023,2263,28.64,FALSE
LOC100576590,1429,261,24.2,FALSE
LOC100576591,6557,3003,14.02,FALSE
LOC100576592,2362,927,43.77,FALSE
LOC100576597,8326,1059,38.05,FALSE
LOC100576599,13948,12478,NA,FALSE
LOC100576600,3170,480,5.79,FALSE
LOC100576602,37698,31504,NA,TRUE
LOC100576603,18199,14508,15.86,FALSE
LOC100576606,5711,2763,12.7125,FALSE
LOC100576608,1856,624,14.16,FALSE
LOC100576609,1055,251,NA,FALSE
LOC100576610,1898,277,19.665,TRUE
LOC100576612,2185,1185,21.49,FALSE
LOC100576614,5250,3662,0,FALSE
LOC100576615,18088,14259,11.25333333,FALSE
LOC100576617,56942,48853,19.765,FALSE
LOC100576619,2680,1576,18.33,TRUE
LOC100576620,3693,1961,12.5,FALSE
LOC100576621,788,187,24.71,FALSE
LOC100576623,1866,76,0,FALSE
LOC100576625,5467,1745,43.63,FALSE
LOC100576630,4123,530,NA,FALSE
LOC100576637,3586,2294,4.69,TRUE
LOC100576638,3146,713,29.16,FALSE
LOC100576640,13942,6347,0.01,TRUE
LOC100576644,19704,18569,NA,FALSE
LOC100576645,2489,342,12.29,FALSE
LOC100576646,2671,791,8.78,FALSE
LOC100576647,2842,856,11.97,FALSE
LOC100576649,10038,7613,0.38,FALSE
LOC100576657,3477,92,NA,FALSE
LOC100576660,3074,1258,0.01,FALSE
LOC100576661,2753,676,NA,FALSE
LOC100576662,2257,1261,29.51,FALSE
LOC100576663,809,557,NA,FALSE
LOC100576666,15704,11805,19.4,FALSE
LOC100576667,3392,667,28.4,FALSE
LOC100576669,2725,1091,0.73,FALSE
LOC100576671,9980,2909,30.74,TRUE
LOC100576677,2181,837,28.95,FALSE
LOC100576679,30523,27580,3.58,FALSE
LOC100576681,5023,2411,19.69666667,FALSE
LOC100576683,17281,10994,30.825,FALSE
LOC100576687,15193,11527,17.99,FALSE
LOC100576688,2499,740,11.775,FALSE
LOC100576689,749,172,NA,FALSE
LOC100576690,84744,83086,19.19,FALSE
LOC100576694,1183,481,NA,FALSE
LOC100576696,3053,1396,NA,FALSE
LOC100576697,8299,2475,NA,FALSE
LOC100576699,2959,1403,NA,FALSE
LOC100576700,152614,148654,25.5975,FALSE
LOC100576702,7702,5835,12.35,TRUE
LOC100576703,8868,4959,18.52,FALSE
LOC100576705,1736,653,24.62,FALSE
LOC100576706,1632,408,40.67,FALSE
LOC100576708,2613,846,21.84,FALSE
LOC100576709,129217,117490,0.352,FALSE
LOC100576714,2577,920,19.81,FALSE
LOC100576715,1225,448,NA,FALSE
LOC100576717,5942,417,11.42,FALSE
LOC100576718,988,90,12.5,FALSE
LOC100576722,6881,2940,33.51,FALSE
LOC100576726,2351,342,NA,FALSE
LOC100576730,2373,1479,28.92,FALSE
LOC100576732,8710,7117,NA,FALSE
LOC100576733,271737,268142,0,FALSE
LOC100576734,2405,612,13.4,FALSE
LOC100576735,1437,595,20.9,FALSE
LOC100576736,1411,634,22.67,FALSE
LOC100576737,1057,75,35.21,FALSE
LOC100576738,8185,6563,15.065,FALSE
LOC100576740,6232,3121,37.4,FALSE
LOC100576741,822,315,22.09,FALSE
LOC100576742,4403,1044,8.56,FALSE
LOC100576744,2435,700,12.62,FALSE
LOC100576745,1494,375,25.31,TRUE
LOC100576746,48354,44675,15.28,FALSE
LOC100576747,12468,3946,22.23,FALSE
LOC100576748,965,272,25.05,FALSE
LOC100576749,2616,708,20,FALSE
LOC100576750,2562,1149,NA,FALSE
LOC100576754,11623,6755,19.08333333,FALSE
LOC100576755,2312,435,NA,FALSE
LOC100576758,1377,288,19.34,FALSE
LOC100576759,3512,2613,32.96,FALSE
LOC100576760,4469,2776,10.18,FALSE
LOC100576761,7433,5437,0.01,FALSE
LOC100576765,1309,347,21.01,FALSE
LOC100576767,2102,328,11.365,FALSE
LOC100576768,2879,736,15.69,FALSE
LOC100576769,480,159,NA,FALSE
LOC100576770,1847,304,27.74,FALSE
LOC100576772,1438,539,NA,FALSE
LOC100576773,8212,6013,8.15,FALSE
LOC100576774,3754,1288,24.9,FALSE
LOC100576775,3940,1263,25.05,FALSE
LOC100576779,7725,6522,3.61,FALSE
LOC100576781,4294,2424,0.103333333,FALSE
LOC100576783,2027,551,20.04,FALSE
LOC100576784,1198,284,6.25,FALSE
LOC100576789,3017,924,23.765,FALSE
LOC100576794,1943,272,28.36,FALSE
LOC100576795,4546,1444,25.52,FALSE
LOC100576796,6787,5723,29.21,FALSE
LOC100576797,8763,7400,10.98,FALSE
LOC100576799,6582,1727,6.24,FALSE
LOC100576801,3423,2125,10.66333333,FALSE
LOC100576803,15923,13109,16.24,FALSE
LOC100576805,34705,27121,42.43,FALSE
LOC100576808,1342,95,NA,FALSE
LOC100576812,2234,173,13.3,FALSE
LOC100576813,6172,3737,NA,FALSE
LOC100576814,24204,21489,23.865,FALSE
LOC100576816,2252,689,20.08,FALSE
LOC100576817,6493,1479,26.22,FALSE
LOC100576818,3269,1940,40.245,FALSE
LOC100576819,3568,984,33.51,FALSE
LOC100576820,2934,574,23.06,FALSE
LOC100576825,5040,1276,NA,FALSE
LOC100576826,5483,3685,28.38,FALSE
LOC100576828,2807,1231,NA,FALSE
LOC100576829,4539,1226,0.76,FALSE
LOC100576831,1610,516,10.81,FALSE
LOC100576836,1457,540,32.88,FALSE
LOC100576838,1509,293,0,FALSE
LOC100576839,7699,3801,18.9,FALSE
LOC100576840,29438,28710,3.5,FALSE
LOC100576841,4319,478,NA,FALSE
LOC100576843,2621,326,19.27,TRUE
LOC100576847,1062,88,40.26,FALSE
LOC100576848,2854,362,9.92,FALSE
LOC100576850,1868,539,4.19,FALSE
LOC100576851,3205,517,33.51,TRUE
LOC100576853,6547,2325,NA,TRUE
LOC100576855,2390,696,1.04,FALSE
LOC100576859,2502,570,28.39,FALSE
LOC100576862,40232,37347,0.74,FALSE
LOC100576863,1950,410,20.74,FALSE
LOC100576864,4143,524,5.105,FALSE
LOC100576866,3232,1072,14.74,FALSE
LOC100576868,130926,123647,NA,FALSE
LOC100576871,4571,1599,25.84,FALSE
LOC100576872,2080,463,12.8,FALSE
LOC100576876,5366,245,4.66,FALSE
LOC100576878,4267,1138,15.692,FALSE
LOC100576879,10844,5697,19.24,FALSE
LOC100576880,2363,1560,NA,FALSE
LOC100576881,2009,563,20.19,FALSE
LOC100576882,30451,17985,0,FALSE
LOC100576885,5308,2126,17.71,FALSE
LOC100576886,6428,5601,17.4,FALSE
LOC100576891,1056,291,23.02,FALSE
LOC100576894,3794,1685,25.44,FALSE
LOC100576895,12168,7640,22.97,FALSE
LOC100576896,21227,17882,0.585,FALSE
LOC100576898,1105,386,17.26,FALSE
LOC100576901,3357,1186,19.74,FALSE
LOC100576902,74013,70167,19.82,FALSE
LOC100576903,2712,438,22.51,FALSE
LOC100576908,5911,1992,9.915,FALSE
LOC100576912,36378,33457,15.36,FALSE
LOC100576913,4345,2526,NA,FALSE
LOC100576914,2100,657,20.23,FALSE
LOC100576915,4537,1940,0,FALSE
LOC100576916,2886,2073,25.71,FALSE
LOC100576918,1000,422,17.75,FALSE
LOC100576919,8289,3133,5.16,FALSE
LOC100576924,16572,10905,21.93,FALSE
LOC100576925,2835,848,NA,FALSE
LOC100576929,1173,395,NA,FALSE
LOC100576930,1293,483,25.05,FALSE
LOC100576932,2444,251,13.06,FALSE
LOC100576934,5151,2278,26.8,FALSE
LOC100576935,7387,4093,12.64,FALSE
LOC100576936,1513,244,18.03,FALSE
LOC100576938,2814,1446,27.94,FALSE
LOC100576940,6877,3707,19.38,FALSE
LOC100576944,2434,696,20.28,FALSE
LOC100576945,710,162,23.96,FALSE
LOC100576947,2458,974,12.61,FALSE
LOC100576948,64646,58662,22.17,FALSE
LOC100576949,1637,NA,41.62,TRUE
LOC100576951,1541,72,5.23,FALSE
LOC100576953,2468,741,28.16,FALSE
LOC100576956,26448,23290,22.5,FALSE
LOC100576957,1106,215,34.14,FALSE
LOC100576958,10899,4931,0.01,TRUE
LOC100576960,1155,99,7.16,FALSE
LOC100576961,1964,924,30.4,FALSE
LOC100576963,7918,5283,0.342,TRUE
LOC100576964,901,240,24.95,FALSE
LOC100576965,165298,161113,25.62,FALSE
LOC100576966,2175,321,10.60333333,FALSE
LOC100576967,1011,324,NA,FALSE
LOC100576968,4359,1840,5.2,FALSE
LOC100576972,4258,1020,26.85,FALSE
LOC100576974,1160,103,5.95,FALSE
LOC100576975,1660,364,13.32,FALSE
LOC100576976,2703,575,0.2,FALSE
LOC100576982,2086,1062,14.71,FALSE
LOC100576983,1396,401,3.44,FALSE
LOC100576984,2551,685,20.34,FALSE
LOC100576985,4257,1939,12.63,FALSE
LOC100576986,11338,3916,41.63,FALSE
LOC100576987,3644,775,NA,FALSE
LOC100576989,4584,1213,12.51,FALSE
LOC100576990,2798,241,18.03,FALSE
LOC100576992,8647,5681,19.97,FALSE
LOC100576993,21727,17323,4.19,FALSE
LOC100576994,2113,475,32.02,FALSE
LOC100576996,2210,149,22.89,FALSE
LOC100577000,1126,275,15.89,FALSE
LOC100577002,7175,4371,14.81,FALSE
LOC100577003,2454,1530,29.634,FALSE
LOC100577004,21697,18368,0.83,FALSE
LOC100577013,12714,8909,NA,FALSE
LOC100577014,5869,1291,21.94,TRUE
LOC100577015,10922,1100,18.72,FALSE
LOC100577017,68194,54183,10.2,FALSE
LOC100577018,1635,238,27.7,FALSE
LOC100577019,14437,7007,27.94,FALSE
LOC100577020,13329,9660,0.57,FALSE
LOC100577024,3555,2101,19.8,FALSE
LOC100577026,5719,3812,19.6,FALSE
LOC100577027,1805,98,16.73,FALSE
LOC100577028,9522,6621,14.68,FALSE
LOC100577030,48786,44162,23.87333333,FALSE
LOC100577031,1977,757,20.4,FALSE
LOC100577033,3290,1664,10.18,FALSE
LOC100577039,5563,3987,7.18,FALSE
LOC100577041,2716,1611,5.06,FALSE
LOC100577042,2158,294,NA,FALSE
LOC100577043,1805,204,29.52,FALSE
LOC100577044,1076,411,25.05,FALSE
LOC100577045,57403,51238,30.57,FALSE
LOC100577046,6246,4896,20.51,FALSE
LOC100577047,11081,4995,20.6125,TRUE
LOC100577050,4388,1827,3.826666667,FALSE
LOC100577053,4147,997,28.55,TRUE
LOC100577054,1496,914,24.85,TRUE
LOC100577057,1380,773,30.91,FALSE
LOC100577060,1402,300,17.71,FALSE
LOC100577064,2622,1200,18.68,FALSE
LOC100577065,2334,262,23.94,FALSE
LOC100577068,2480,681,20.46,FALSE
LOC100577069,4655,2552,0,FALSE
LOC100577071,2009,1198,10.18,FALSE
LOC100577073,784,195,12.06,FALSE
LOC100577074,7463,2540,NA,FALSE
LOC100577080,3146,798,15.99,FALSE
LOC100577081,2214,58,22.31,FALSE
LOC100577082,13609,9422,29.69666667,FALSE
LOC100577088,279,135,NA,FALSE
LOC100577091,1767,65,23.38,FALSE
LOC100577092,3542,1851,16.52,FALSE
LOC100577094,3226,1869,17.4,FALSE
LOC100577098,62037,59759,14.585,FALSE
LOC100577101,2294,630,20.51,FALSE
LOC100577102,3930,194,0.97,FALSE
LOC100577106,2324,157,41.2,FALSE
LOC100577107,4044,1761,11.04,FALSE
LOC100577109,7293,6926,NA,FALSE
LOC100577110,3735,932,16.01,FALSE
LOC100577112,1642,1083,5.79,FALSE
LOC100577113,2181,433,29.71,FALSE
LOC100577118,22678,17625,34.34,FALSE
LOC100577120,3899,419,16.55,FALSE
LOC100577121,5423,3796,10.905,TRUE
LOC100577122,1385,174,43.49,FALSE
LOC100577125,19303,3465,NA,FALSE
LOC100577127,3257,632,25.14,FALSE
LOC100577128,1399,866,5.83,FALSE
LOC100577132,2201,706,14.42,TRUE
LOC100577135,5297,3449,15.1,FALSE
LOC100577136,3329,2034,13.11,FALSE
LOC100577138,63611,54382,2.47,FALSE
LOC100577139,114609,103588,41.01444444,FALSE
LOC100577140,3633,1519,0,FALSE
LOC100577141,2383,517,NA,FALSE
LOC100577142,22839,18222,23.64,FALSE
LOC100577143,999,427,0,FALSE
LOC100577145,2882,1246,13.66,FALSE
LOC100577146,7902,1552,31.114,FALSE
LOC100577147,85372,81287,29.07,FALSE
LOC100577149,3700,1184,0,FALSE
LOC100577150,3183,817,16.12,FALSE
LOC100577151,7612,893,13.87,FALSE
LOC100577155,3601,2207,19.47,TRUE
LOC100577156,2574,1235,20.51,TRUE
LOC100577159,27226,22699,25.83,FALSE
LOC100577161,5406,4359,0,FALSE
LOC100577162,30991,29531,NA,FALSE
LOC100577163,1434,NA,5.11,FALSE
LOC100577164,8825,1413,NA,TRUE
LOC100577165,3981,2042,28.325,FALSE
LOC100577168,10341,7575,23.4,FALSE
LOC100577174,65278,56597,11.325,FALSE
LOC100577178,3892,502,22.52,FALSE
LOC100577180,1468,NA,43.48,FALSE
LOC100577181,2235,670,20.6,FALSE
LOC100577185,171610,168762,NA,TRUE
LOC100577188,45642,44561,15.2,FALSE
LOC100577189,6272,4442,17.54,FALSE
LOC100577192,1345,457,28.9,FALSE
LOC100577194,3643,1373,30.44,FALSE
LOC100577196,8784,5304,48.87,FALSE
LOC100577197,1836,1015,5.72,FALSE
LOC100577198,60467,56274,6.51,FALSE
LOC100577201,11515,654,NA,FALSE
LOC100577202,1711,475,4.48,FALSE
LOC100577209,2276,383,12.82,FALSE
LOC100577211,1530,415,NA,FALSE
LOC100577213,17030,15807,24.68,FALSE
LOC100577214,5621,3388,22.63,TRUE
LOC100577215,2530,632,NA,FALSE
LOC100577216,35910,31780,NA,FALSE
LOC100577220,3409,807,28.02,FALSE
LOC100577221,2479,303,14.14,FALSE
LOC100577222,20231,19379,28.54,FALSE
LOC100577224,4844,2537,26.14,FALSE
LOC100577226,2360,678,20.65,FALSE
LOC100577228,7866,2662,29.25,FALSE
LOC100577229,7494,6281,5.253333333,FALSE
LOC100577231,94002,89216,0,FALSE
LOC100577235,2886,996,20.66,FALSE
LOC100577237,4863,1328,27.635,FALSE
LOC100577239,15793,12836,25.86,FALSE
LOC100577242,38734,33079,17.71,TRUE
LOC100577250,2826,378,19.38,FALSE
LOC100577252,2649,1027,24.08,FALSE
LOC100577253,10168,4707,26.57,FALSE
LOC100577254,126105,113150,15.48322581,FALSE
LOC100577255,113568,109324,24.805,FALSE
LOC100577257,4296,525,NA,FALSE
LOC100577259,22974,20291,NA,FALSE
LOC100577260,10061,7172,NA,FALSE
LOC100577262,16184,14312,NA,FALSE
LOC100577263,1765,611,18.69,FALSE
LOC100577264,876,116,NA,FALSE
LOC100577266,80062,78635,NA,FALSE
LOC100577268,23713,20698,22.248,FALSE
LOC100577269,3700,2085,14.86,FALSE
LOC100577272,5877,314,17.56,FALSE
LOC100577273,1340,NA,27.71,FALSE
LOC100577278,74768,63521,NA,FALSE
